,Zone1Power,Zone2Power,Zone3Power,Zone4Power,Total Power
62,38.2,14.6,0.0,45.2,98.0
63,38.2,14.6,0.0,45.2,98.0
64,38.2,14.6,0.0,45.2,98.0
65,38.2,14.6,0.0,45.2,98.0
66,38.2,14.6,0.0,46.6,99.4
67,38.2,14.6,0.0,46.6,99.4
68,38.2,14.6,0.0,46.6,99.4
69,38.2,14.6,0.0,46.6,99.4
70,38.2,14.6,0.0,46.6,99.4
71,38.2,17.5,0.0,46.6,102.30000000000001
72,38.2,17.5,0.0,46.6,102.30000000000001
73,38.2,17.5,0.0,46.6,102.30000000000001
74,38.2,17.5,0.0,46.6,102.30000000000001
75,38.2,17.5,0.0,46.6,102.30000000000001
76,38.2,17.5,0.0,46.6,102.30000000000001
77,38.2,17.5,0.0,46.6,102.30000000000001
78,38.2,17.5,0.0,46.6,102.30000000000001
79,38.2,17.5,0.0,46.6,102.30000000000001
80,38.2,17.5,0.0,46.6,102.30000000000001
81,38.2,17.5,0.0,46.6,102.30000000000001
82,38.2,17.5,0.0,46.6,102.30000000000001
83,38.2,17.5,0.0,46.6,102.30000000000001
84,38.2,17.5,0.0,46.6,102.30000000000001
85,38.2,17.5,0.0,46.6,102.30000000000001
86,38.2,17.5,0.0,46.6,102.30000000000001
87,38.2,17.5,0.0,46.6,102.30000000000001
88,38.2,17.5,0.0,46.6,102.30000000000001
89,38.2,17.5,0.0,46.6,102.30000000000001
90,38.2,17.5,0.0,46.6,102.30000000000001
91,38.2,17.5,0.0,46.6,102.30000000000001
92,38.2,17.5,0.0,46.6,102.30000000000001
93,38.2,17.5,0.0,46.7,102.4
94,38.2,17.5,0.0,46.7,102.4
95,38.2,17.5,0.0,46.7,102.4
96,38.2,17.5,0.0,46.7,102.4
97,38.2,17.5,0.0,46.7,102.4
98,38.2,17.5,0.0,46.7,102.4
99,38.2,19.1,0.0,46.7,104.0
100,38.2,19.1,0.0,46.7,104.0
101,38.2,19.1,0.0,46.7,104.0
102,38.2,19.1,0.0,46.7,104.0
103,38.2,19.1,0.0,46.7,104.0
104,38.2,19.1,0.0,46.7,104.0
105,38.2,19.1,0.0,46.7,104.0
106,38.2,19.1,0.0,46.7,104.0
107,38.2,19.1,0.0,46.7,104.0
108,38.2,19.1,0.0,46.7,104.0
109,38.2,19.1,0.0,46.7,104.0
110,38.2,19.1,0.0,46.7,104.0
111,38.2,19.1,0.0,46.7,104.0
112,38.2,19.1,0.0,46.7,104.0
113,38.2,19.1,0.0,46.7,104.0
114,38.2,19.1,0.0,46.7,104.0
115,38.2,19.1,0.0,46.7,104.0
116,38.2,19.1,0.0,43.3,100.6
117,38.2,19.1,0.0,43.3,100.6
118,38.2,19.1,0.0,43.3,100.6
119,38.2,19.1,0.0,43.3,100.6
120,38.2,19.1,0.0,43.3,100.6
121,38.2,19.1,0.0,43.3,100.6
122,38.2,19.1,0.0,43.3,100.6
123,38.2,19.1,0.0,43.3,100.6
124,38.2,18.0,0.0,43.3,99.5
125,38.2,18.0,0.0,43.3,99.5
126,38.2,18.0,0.0,43.3,99.5
127,38.2,18.0,0.0,43.3,99.5
128,38.2,18.0,0.0,43.3,99.5
129,38.2,18.0,0.0,43.3,99.5
130,38.2,18.0,0.0,43.3,99.5
131,38.2,18.0,0.0,43.3,99.5
132,38.2,18.0,0.0,43.3,99.5
133,38.2,18.0,0.0,43.3,99.5
134,38.2,18.0,0.0,43.3,99.5
